,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2025,Tez Johnson,TAM,0,0,0.00%,0,0,0.00%
2025,Kyle Juszczyk,SFO,1,0,2.20%,1,0,4.30%
2025,Travis Kelce,KAN,1,0,2.40%,1,0,5.60%
2025,George Kittle,SFO,0,0,0.00%,0,0,0.00%
2025,Colston Loveland,CHI,1,0,1.90%,0,0,0.00%
2025,Hunter Luepke,DAL,0,0,0.00%,0,0,0.00%
2025,Phil Mafah,DAL,1,1,2.00%,1,1,3.60%
2025,Jalen McMillan,TAM,0,0,0.00%,0,0,0.00%
2025,D.K. Metcalf,PIT,1,1,2.20%,0,0,0.00%
2025,Joe Milton,DAL,1,0,2.00%,1,0,3.60%
2025,Elijah Moore,BUF,1,1,1.60%,1,1,2.70%
2025,Puka Nacua,LAR,1,0,1.90%,0,0,0.00%
2025,Dameon Pierce,HOU,0,0,0.00%,0,0,0.00%
2025,Mason Rudolph,PIT,1,0,2.20%,0,0,0.00%
2025,Shedeur Sanders,CLE,1,1,3.00%,0,0,0.00%
2025,Rashid Shaheed,NOR,0,0,0.00%,0,0,0.00%
2025,Amon-Ra St. Brown,DET,0,0,0.00%,0,0,0.00%
2025,Brian Thomas,JAX,1,1,1.90%,0,0,0.00%
2025,Parker Washington,JAX,1,0,1.90%,0,0,0.00%
2025,Christian Watson,GNB,0,0,0.00%,0,0,0.00%
2025,Jordan Whittington,LAR,1,0,1.90%,0,0,0.00%
2025,Jameson Williams,DET,1,0,2.00%,0,0,0.00%
2025,Savion Williams,GNB,0,0,0.00%,0,0,0.00%
2024,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2024,Player,Tm,Att,TD,%Rush,Att,TD,%Rush
2024,Kyren Williams,LAR,33,13,78.60%,19,12,82.60%
2024,Bijan Robinson,ATL,34,12,65.40%,14,9,70.00%
2024,Jonathan Taylor,IND,31,7,55.40%,15,5,50.00%
2024,Josh Jacobs,GNB,40,14,69.00%,19,11,73.10%
2024,Joe Mixon,HOU,29,8,74.40%,12,6,80.00%
2024,Saquon Barkley,PHI,28,4,42.40%,13,4,37.10%
2024,Derrick Henry,BAL,32,13,72.70%,18,9,94.70%
2024,Jahmyr Gibbs,DET,26,10,40.00%,15,8,42.90%
2024,Najee Harris,PIT,26,5,49.10%,7,3,41.20%
2024,Jalen Hurts,PHI,28,13,42.40%,18,11,51.40%
2024,David Montgomery,DET,33,11,50.80%,17,8,48.60%
2024,James Cook,BUF,29,11,48.30%,13,6,48.10%
2024,Chase Brown,CIN,28,6,63.60%,12,5,57.10%
2024,James Conner,ARI,21,8,72.40%,11,5,64.70%
2024,Kareem Hunt,KAN,24,7,60.00%,14,5,56.00%
