,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2026,Michael Burton,CLE,3.1,0.8,9.52%,2.1,0.7,11.73%
2026,Justice Hill,BAL,3.0,0.8,6.00%,1.4,0.8,5.55%
2026,Jaret Patterson,LAC,3.0,1.3,7.60%,2.4,1.2,12.55%
2026,Caleb Williams,CHI,3.0,0.8,6.81%,1.1,0.4,5.09%
2026,Tyler Goodson,ATL,2.9,0.7,6.79%,0.6,0.0,3.70%
2026,Dameon Pierce,PHI,2.8,0.4,4.90%,1.3,0.4,4.39%
2026,Andy Dalton,PHI,2.7,0.0,4.78%,1.9,0.0,6.33%
2026,Drew Lock,SEA,2.7,1.6,6.65%,0.4,0.0,1.60%
2026,Michael Penix,ATL,2.7,1.0,6.29%,1.6,0.6,9.25%
2026,C.J. Stroud,HOU,2.7,0.8,7.30%,1.8,0.7,8.76%
2026,Baker Mayfield,TAM,2.7,1.2,8.12%,1.7,1.0,9.54%
2026,Kene Nwangwu,NYJ,2.7,0.0,12.77%,1.3,0.0,20.47%
2026,Eric Gray,NYG,2.7,0.0,6.49%,1.8,0.0,8.87%
2026,Michael Carter,TEN,2.6,0.7,9.33%,1.5,0.5,13.56%
2026,Tyson Bagent,CHI,2.5,1.5,5.79%,1.9,1.3,9.10%
2026,Kyler Murray,MIN,2.5,0.7,8.72%,1.1,0.6,7.31%
2026,Rashee Rice,KAN,2.5,0.8,6.16%,1.8,0.9,8.98%
2026,Matthew Stafford,LAR,2.5,0.0,5.26%,1.5,0.1,5.90%
2026,Marcus Mariota,WAS,2.4,1.0,4.60%,1.8,0.7,6.66%
2026,Jared Goff,DET,2.4,0.3,4.31%,0.6,0.3,2.16%
2026,Tyler Conklin,DET,2.4,0.0,4.31%,1.6,0.0,5.85%
2026,Jonathon Brooks,CAR,2.4,0.0,7.39%,1.0,0.0,6.94%
2026,Durham Smythe,BAL,2.4,1.4,4.65%,1.4,1.0,5.69%
2026,Nick Mullens,JAX,2.3,0.0,5.12%,0.7,0.0,2.78%
2026,Malik Willis,MIA,2.3,0.3,6.18%,0.3,0.0,1.70%
2026,Sam Ehlinger,DEN,2.3,0.0,6.65%,1.1,0.0,6.52%
2026,Salvon Ahmed,CHI,2.2,0.7,5.08%,0.9,0.0,4.26%
2026,Jaydon Blue,DAL,2.2,0.0,5.30%,1.0,0.0,4.65%
2026,Deebo Samuel,SFO,2.2,0.5,4.35%,1.1,0.4,4.22%
2026,Jacoby Brissett,ARI,2.2,0.4,6.73%,1.1,0.4,6.75%
2026,British Brooks,HOU,2.2,0.0,5.94%,1.6,0.0,8.02%
2026,Jawhar Jordan,HOU,2.2,0.0,5.94%,0.9,0.0,4.72%
2026,Dare Ogunbowale,LVR,2.2,0.4,8.21%,0.7,0.0,4.86%
2026,Ronnie Rivers,LAR,2.2,0.0,4.57%,0.7,0.0,2.66%
2026,Connor Heyward,LVR,2.1,1.1,7.96%,1.6,0.8,11.51%
2026,Tyrod Taylor,GNB,2.1,1.3,4.56%,0.3,0.0,1.25%
2026,Zach Wilson,NOR,2.1,0.3,5.91%,0.6,0.0,4.31%
2026,Joe Burrow,CIN,2.0,0.5,5.20%,1.7,0.5,9.42%
2026,Jake Browning,TAM,2.0,1.2,5.94%,1.7,1.2,9.63%
2026,Geno Smith,NYJ,2.0,0.2,9.35%,0.6,0.0,8.48%
2026,Devin Neal,NOR,1.9,1.1,5.38%,1.6,1.1,11.81%
2026,Ty Chandler,NOR,1.9,0.5,5.38%,0.7,0.4,5.65%
2026,Raheem Blackshear,DET,1.9,1.1,3.35%,1.0,0.5,3.45%
2026,Mark Andrews,BAL,1.8,0.0,3.58%,0.9,0.0,3.46%
2026,Zavier Scott,MIN,1.8,0.0,6.17%,0.5,0.0,3.29%
2026,Aaron Rodgers,PIT,1.8,0.8,3.82%,1.3,0.6,5.66%
2026,Riley Leonard,IND,1.8,1.0,3.24%,0.9,0.6,2.94%
2026,AJ Barner,SEA,1.8,0.9,4.27%,0.9,0.7,4.07%
2026,Terrell Jennings,NWE,1.7,0.7,4.25%,1.2,0.6,6.44%
2026,Trey Lance,LAC,1.7,0.0,4.42%,1.4,0.0,7.47%
2026,Kenny Pickett,CAR,1.7,0.8,5.31%,1.4,0.7,9.64%
2026,Dylan Sampson,CLE,1.7,0.0,5.14%,0.4,0.0,2.00%
2026,Joe Milton,DAL,1.7,0.5,3.99%,1.4,0.4,6.45%
2026,Greg Dortch,DET,1.7,1.0,2.96%,1.1,0.8,3.86%
2026,Mac Jones,SFO,1.7,0.5,3.26%,0.8,0.4,3.27%
